,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
3589,BROWNSBURG WWTP,INL021245,BROWNSBURG,IN,5,2022,2023-02-15T16:12:59.159-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,413.18,0,,Land Application,413.18,,,,Class B,other_system
3590,LAS VIRGENES TAPIA WRF/COMPOST,CAL056014,CALABASAS,CA,9,2022,2023-02-21T16:59:15.431-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",1955.0,0,,"Land Application, Other Management Practice",1955.0,,,238.89,"Class A, Class B",other_system
3592,NARRAGANSETT BAY COMMISSION,RIL100072,PROVIDENCE,RI,1,2022,2023-02-21T17:05:27.659-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1885.03,0,,Other Management Practice,,,,1885.03,Not Applicable,other_system
3594,NYC DEPT OF ENVIR PROTECTION,NYL026158,CORONA,NY,2,2022,2023-02-17T16:08:13.887-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",12648.0,0,,"Land Application, Other Management Practice",6665.0,,,5985.0,"Class A, Not Applicable",other_system
3595,STEWARTVILLE,MNL020681,STEWARTVILLE,MN,5,2022,2023-02-15T16:29:44.263-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,76.7,0,,Land Application,76.7,,,,Class B,other_system
3596,MSD BISSELL POINT WASTEWATER TREATMENT PLANT,MOL025178,ST. LOUIS,MO,7,2022,2023-02-17T16:46:20.643-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",23179.13803,0,,Incineration,,,23179.13803,,,other_system
3597,RENSSELAER COUNTY SD NO.1,NYL087971,TROY,NY,2,2022,2023-02-15T16:14:49.731-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",863.7,0,,Land Application,863.7,,,,Class A,other_system
3598,VIRGINIA,MNL030163,VIRGINIA,MN,5,2022,2023-02-21T09:49:04.415-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,214.0,0,,Land Application,214.0,,,,Class B,other_system
3600,TERREBONNE PARISH CONS. GOVT.,LAL040274,HOUMA,LA,6,2022,2023-02-15T16:42:27.017-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
3604,ST VRAIN SANITATION DISTRICT,COL041700,FIRESTONE,CO,8,2022,2023-02-16T14:32:03.841-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",660.77,0,,"Land Application, Other Management Practice",605.87,,,214.9,"Class B, Class A EQ",other_system
3605,LAKE COUNTY SE REGIONAL PLANT,CAL004073,LAKEPORT,CA,9,2022,2023-02-16T10:31:32.378-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
3608,NYC DEPT OF ENVIR PROTECTION,NYL026204,CORONA,NY,2,2022,2023-02-17T14:38:40.763-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",16223.0,0,,Other Management Practice,,,,16224.0,Not Applicable,other_system
3611,NYC DEPT OF ENVIR PROTECTION,NYL026191,CORONA,NY,2,2022,2023-02-17T16:08:57.734-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",13582.0,0,,"Other Management Practice, Land Application",5814.0,,,21013.0,"Not Applicable, Class A",other_system
3612,ATTLEBORO W P C F,MAL100595,ATTLEBORO,MA,1,2022,2023-02-16T11:10:34.195-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3088.0,0,,Other Management Practice,,,,3088.0,Not Applicable,other_system
3614,CITY OF WEST PLAINS,MOL096610,WEST PLAINS,MO,7,2022,2023-02-16T09:03:42.302-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",334.37,0,,Land Application,219.64,,,,Class B,other_system
3623,CITY OF ESTHERVILLE,IAL023744,ESTHERVILLE,IA,7,2022,2023-02-16T13:04:17.792-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,264.3,0,,Land Application,264.3,,,,Class B,other_system
3627,WINCHESTER WPCF/WINSTED WPCF,CTL101222,WINCHESTER,CT,1,2022,2023-02-16T11:02:15.159-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,144.0,0,,Other Management Practice,,,,144.0,Not Applicable,other_system
3630,NYC DEPT OF ENVIR PROTECTION,NYL026131,CORONA,NY,2,2022,2023-02-17T16:09:41.845-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",15860.0,0,,"Other Management Practice, Land Application",2718.0,,,24530.0,"Not Applicable, Class A",other_system
3632,CITY OF BELTON,MOL117412,BELTON,MO,7,2022,2023-02-16T11:18:12.461-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",134.3,0,,Other Management Practice,,,,134.3,Not Applicable,other_system
3633,CITY OF KEOKUK,IAL042609,KEOKUK,IA,7,2022,2023-02-16T12:25:11.706-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2250.4,0,,Land Application,2250.4,,,,Class B,other_system
3635,"MARSHFIELD, TOWN OF",MAL101737,BRANT ROCK,MA,1,2022,2023-02-16T11:22:45.830-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,298.16,0,,Other Management Practice,,,,298.16,Class A,other_system
3636,CITY OF CENTERVILLE,IAL027472,CENTERVILLE,IA,7,2022,2023-02-16T12:04:57.629-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,45.7,1,Land Application,Land Application,45.7,,,,Class B,other_system
3640,NYC DEPT OF ENVIR PROTECTION,NYL026174,CORONA,NY,2,2022,2023-02-17T10:07:05.252-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3276.0,0,,Other Management Practice,,,,3276.0,Not Applicable,other_system
3642,WESTCHESTER COUNTY DEPT ENV FAC,NYL026697,NEW ROCHELLE,NY,2,2022,2023-02-17T15:57:53.289-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1784.0,0,,Incineration,,,1784.0,,,other_system
3646,NYC DEPT OF ENVIR PROTECTION,NYL026247,CORONA,NY,2,2022,2023-02-17T14:43:59.979-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",9510.0,0,,Other Management Practice,,,,9509.0,Not Applicable,other_system
3647,CITY OF CHEROKEE,IAL059005,CHEROKEE,IA,7,2022,2023-02-16T12:46:41.024-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.22,0,,Land Application,85.22,,,,Class B,other_system
3648,NYC DEPT OF ENVIR PROTECTION,NYL026166,CORONA,NY,2,2022,2023-02-17T16:10:28.005-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",12750.0,0,,"Land Application, Other Management Practice",8938.0,,,3808.0,"Class A, Class B, Not Applicable",other_system
3652,"ATWATER, CITY OF",CAL085308,ATWATER,CA,9,2022,2023-02-16T14:25:48.856-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",613.0,0,,Other Management Practice,,,,613.0,Class B,other_system
3654,CITY OF ODESSA,MOL026387,ODESSA,MO,7,2022,2023-02-16T13:17:07.614-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,37.34,0,,Land Application,37.34,,,,Class B,other_system
3657,ESSEX JUNCTION WASTEWATER TREATMENT FACILITY,VTL100111,ESSEX JUNCTION,VT,1,2022,2023-02-16T14:33:49.501-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,433.0,0,,"Land Application, Other Management Practice",166.11,,,267.02,Class B,other_system
3658,TEHACHAPI WWTP,CAL000464,TEHACHAPI,CA,9,2022,2023-03-05T12:42:21.653-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",131.54,0,,Other Management Practice,,,,131.54,Class A,other_system
3661,NEWBURGH (C),NYL026310,NEWBURGH,NY,2,2022,2023-02-17T13:44:49.544-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1202.74,0,,Other Management Practice,,,,1202.74,Not Applicable,other_system
3663,EMWD - PERRIS VALLEY RWRF,CAL001102,PERRIS,CA,9,2022,2023-02-16T18:27:06.430-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,4020.12,0,,Land Application,4020.12,,,,Class B,other_system
3664,NYC DEPT OF ENVIR PROTECTION,NYL027073,CORONA,NY,2,2022,2023-02-17T16:11:34.346-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3717.0,0,,"Land Application, Other Management Practice",3212.0,,,505.0,"Class A, Class B, Not Applicable",other_system
3665,EMWD - TEMECULA VALLEY RWRF,CAL000480,PERRIS,CA,9,2022,2023-02-16T18:17:33.602-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2817.19,0,,Land Application,2817.19,,,,Class B,other_system
3667,CITY OF JEFFERSON CITY,MOL094846,JEFFERSON CITY,MO,7,2022,2023-02-16T14:49:15.056-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1225.0,0,,Land Application,1225.0,,,,Class B,other_system
3669,MSD LEMAY WASTEWATER TREATMENT PLANT,MOL025151,ST. LOUIS,MO,7,2022,2023-02-16T16:17:55.804-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",14378.81,0,,Incineration,,,14378.81,,,other_system
3673,HONOLULU WAIANAE WWTP,HIL020109,KAPOLEI,HI,9,2022,2023-02-17T21:17:20.823-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",309.3,0,,Other Management Practice,,,,309.3,Not Applicable,other_system
3674,SONOMA VALLEY WWTP,CAL037800,SANTA ROSA,CA,9,2022,2023-02-16T15:57:27.182-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2799.0,0,,Other Management Practice,,,,2799.0,Not Applicable,other_system
3676,HONOLULU HONOULIULI WWTP,HIL020877,KAPOLEI,HI,9,2022,2023-02-17T21:20:46.991-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2161.1,0,,Other Management Practice,,,,2161.1,Not Applicable,other_system
3677,HONOLULU KAILUA WWTP,HIL021296,KAPOLEI,HI,9,2022,2023-02-17T21:22:06.411-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",594.7,0,,Other Management Practice,,,,594.7,Not Applicable,other_system
3679,NYC DEPT OF ENVIR PROTECTION,NYL026221,CORONA,NY,2,2022,2023-02-17T10:04:50.426-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",889.0,0,,Other Management Practice,,,,889.0,Not Applicable,other_system
3680,NYC DEPT OF ENVIR PROTECTION,NYL026239,CORONA,NY,2,2022,2023-02-17T14:39:51.854-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5859.0,0,,Other Management Practice,,,,5864.0,Not Applicable,other_system
3681,PARKER AG- CAKE BLENDING FIELD OPS,COL000021,LIMON,CO,8,2022,2023-02-17T09:09:01.209-0500,Other,14396.29,0,,Land Application,14396.29,,,,Class B,other_system
3684,LRWU-LITTLE MAUMELLE WWTP,ARL050849,LITTLE ROCK,AR,6,2022,2023-02-19T13:05:52.651-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,470.0,0,,Land Application,4808.68,,,,Class A,other_system
3685,BIGFORK COUNTY WATER AND SEWER,MTL020397,BIGFORK,MT,8,2022,2023-02-16T17:07:47.761-0500,Other,63.06,0,,"Land Application, Other Management Practice",60.5,,,2.56,Class B,other_system
3686,MAYNARD W W T F,MAL101001,MAYNARD,MA,1,2022,2023-02-16T16:58:47.870-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,334.32,0,,Other Management Practice,,,,334.32,Class A,other_system
3690,WESTCHESTER COUNTY DEPT ENV FAC,NYL026701,NEW ROCHELLE,NY,2,2022,2023-02-17T10:10:06.154-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,3133.0,0,,Incineration,,,3133.0,,,other_system
3691,GAS CITY WWTP,INL022985,GAS CITY,IN,5,2022,2023-02-17T19:30:46.407-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,66.47,0,,Land Application,66.47,,,,Class B,other_system
3694,CITY OF COUNCIL BLUFFS,IAL036641,COUNCIL BLUFFS,IA,7,2022,2023-02-17T10:12:04.204-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1349.05,0,,Land Application,1349.05,,,,Class B,other_system
3696,WABASH WWTP,INL024741,WABASH,IN,5,2022,2023-02-17T09:08:37.117-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1071.1,0,,Other Management Practice,,,,1071.1,Class B,other_system
3697,TRI-MUNICIPAL SEWER COMMISSION,NYL149209,WAPPINGERS FALLS,NY,2,2022,2023-02-17T11:32:15.755-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,507.0,1,Land Application,Land Application,507.0,,,,Class A EQ,other_system
3702,TOWN OF SPENCER SEWER COMMISSION,MAL100919,SPENCER,MA,1,2022,2023-02-17T09:39:07.543-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,277.93,0,,Other Management Practice,,,,277.93,Not Applicable,other_system
3707,ROAMINGWOOD SEWER AND WATER ASSOCIATION,PAL033430,LAKE ARIEL,PA,3,2022,2023-02-17T10:32:17.134-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,38.479,0,,Other Management Practice,,,,38.479,Class B,other_system
3712,LOUISVILLE CITY OF,COL023078,LOUISVILLE,CO,8,2022,2023-02-17T11:03:31.136-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",400.83,0,,Other Management Practice,,,,400.83,Class B,other_system
3713,NYC DEPT OF ENVIR PROTECTION,NYL026522,GRAHAMSVILLE,NY,2,2022,2023-02-17T13:10:59.239-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,384.0,0,,Other Management Practice,,,,384.0,Class B,other_system
3714,CITY OF EMMETSBURG,IAL021580,EMMETSBURG,IA,7,2022,2023-02-17T11:45:52.006-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,39.16,0,,Land Application,39.16,,,,Class B,other_system
3716,CITY OF WENTZVILLE,MOL093599,WENTZVILLE,MO,7,2022,2023-02-21T09:43:06.678-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",552.0,0,,Land Application,552.0,,,,Class B,other_system
3717,FRASER TOWN OF,COL040142,FRASER,CO,8,2022,2023-02-17T11:27:21.628-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,154.06,0,,Other Management Practice,,,,154.06,Not Applicable,other_system
3721,MILLERCOORS LLC,COL001163,GOLDEN,CO,8,2022,2023-02-17T17:00:20.771-0500,Other,5385.0,0,,Other Management Practice,,,,5385.0,Not Applicable,other_system
3722,NEW CASTLE WWTF,COL590062,NEW CASTLE,CO,8,2022,2023-02-17T12:45:40.767-0500,Other,66.22,0,,"Land Application, Other Management Practice",8.68,,,58.38,Class B,other_system
3725,DELTA DIABLO WWTP,CAL038547,ANTIOCH,CA,9,2022,2023-02-17T16:26:27.018-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3130.19,0,,Land Application,3130.19,,,,Class B,other_system
3726,MCI NORFOLK-WALPOLE WWTF,MAL102253,NORFOLK,MA,1,2022,2023-02-17T12:45:22.148-0500,Other,0.89,0,,Other Management Practice,,,,0.89,Not Applicable,other_system
3734,CITY OF ST. JOSEPH,MOL023043,ST. JOSEPH,MO,7,2022,2023-02-17T14:15:54.787-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1442.66,0,,"Land Application, Other Management Practice",415.09,,,1027.57,"Class A, Class B",other_system
3739,PRASA ADJUNTAS,PRL020214,ADJUNTAS,PR,2,2022,2023-02-21T10:39:06.009-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,9.45,0,,Other Management Practice,,,,9.45,Class B,other_system
3741,POLK RUN WWTP - MSD,OHL020419,CINCINNATI,OH,5,2022,2023-02-17T15:25:34.993-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",811.17,0,,Other Management Practice,,,,811.17,Not Applicable,other_system
3744,LAGUNA CSD WRF,CAL000404,SANTA MARIA,CA,9,2022,2023-02-17T14:32:59.501-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",152.0,0,,Other Management Practice,,,,152.0,Class A,other_system
3748,TAYLOR CREEK WWTP -- MSD,OHL040983,CINCINNATI,OH,5,2022,2023-02-17T15:26:23.456-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",531.11,0,,Other Management Practice,,,,531.11,Not Applicable,other_system
3749,PARSIPPANY TROY HILLS,NJL024970,PARSIPPANY,NJ,2,2022,2023-02-21T13:12:26.215-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2944.88,0,,Other Management Practice,,,,2944.88,Not Applicable,other_system
3755,TOWN OF DAVIE SYSTEM IV WATER RECLAMATION FACILITY,FLL706736,DAVIE,FL,4,2022,2023-02-17T14:37:56.854-0500,"A POTW that serves 10,000 people or more",96.11,0,,Land Application,96.11,,,,Class B,other_system
3758,FRISCO SANITATION DISTRICT,COL020451,FRISCO,CO,8,2022,2023-02-17T14:47:05.809-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,174.0,0,,Land Application,174.0,,,,Class A,other_system
3759,PRASA LAJAS,PRL020575,LAJAS,PR,2,2022,2023-02-21T10:41:29.605-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,108.82,0,,Land Application,108.82,,,,Class A EQ,other_system
3761,PRASA LAS MARIAS,PRL020583,LAS MARIAS,PR,2,2022,2023-02-21T10:42:31.543-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2.63,0,,Land Application,2.63,,,,Class A EQ,other_system
3765,"PANA STP, CITY OF",ILL022314,PANA,IL,5,2022,2023-02-17T15:56:21.869-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,81.9,0,,Land Application,89.64,,,,Class B,other_system
3773,"STROMO, LLC",COL650222,HUDSON,CO,8,2022,2023-02-20T09:23:51.876-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1673.68,0,,Land Application,1673.68,,,,Class A,other_system
3774,BOULDER CITY OF,COL024147,BOULDER,CO,8,2022,2023-02-17T17:22:36.229-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1514.51,0,,Other Management Practice,,,,1514.51,Class B,other_system
3778,CCI TEHACHAPI WWTF,CAL010522,TEHACHAPI,CA,9,2022,2023-02-17T18:27:24.076-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,56.938,0,,Other Management Practice,,,,56.938,Class B,other_system
3779,ENGEL & GRAY COMPOST FACILITY,CAL000628,SANTA MARIA,CA,9,2022,2023-02-17T20:27:15.780-0500,Other,4972.0,0,,Land Application,4972.0,,,,Class A,other_system
3780,TAFUNA WWTP,ASL020010,PAGO PAGO,AS,9,2022,2023-02-17T21:10:08.535-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",315.0,0,,Other Management Practice,,,,315.0,Class A,other_system
3781,OSWEGO (C),NYL029106,OSWEGO,NY,2,2022,2023-02-21T10:19:47.030-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,310.0,0,,Other Management Practice,,,,310.0,Not Applicable,other_system
3782,UTULEI STP,ASL020001,PAGO PAGO,AS,9,2022,2023-02-17T21:07:14.835-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",125.0,0,,Other Management Practice,,,,125.0,Class A,other_system
3786,PRASA - FAJARDO WWTP,PRL026484,AGUAS BUENAS,PR,2,2022,2023-02-21T11:02:22.973-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",349.85,0,,Other Management Practice,,,,349.85,Class B,other_system
3787,PRASA HUMACAO WWTP,PRL025399,BO. RIO ABAJO,PR,2,2022,2023-02-21T11:03:20.628-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",668.31,0,,Other Management Practice,,,,668.31,Class B,other_system
3789,PRASA RIO GRANDE ESTATES,PRL023264,RIO GRANDE,PR,2,2022,2023-02-21T11:05:09.563-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,57.68,0,,Other Management Practice,,,,57.68,Class B,other_system
3791,PRASA YABUCOA STP,PRL021717,YABUCOA,PR,2,2022,2023-02-21T11:14:26.437-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,56.98,0,,Other Management Practice,,,,56.98,Class B,other_system
3792,PRASA COROZAL,PRL020451,COROZAL,PR,2,2022,2023-02-21T11:18:41.081-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,19.22,0,,Other Management Practice,,,,19.22,Class B,other_system
3797,PRASA OROCOVIS,PRL020745,OROCOVIS,PR,2,2022,2023-02-21T11:30:45.923-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,12.23,0,,Other Management Practice,,,,12.23,Class B,other_system
3798,SOCWA 3A WWTP,CAL010507,LAGUNA NIGUEL,CA,9,2022,2023-02-18T10:47:30.676-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",394.99,0,,Other Management Practice,,,,394.99,Not Applicable,other_system
3799,SOCWA J. B. LATHAM TP,CAL107417,DANA POINT,CA,9,2022,2023-02-18T11:37:57.715-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2173.1,0,,Other Management Practice,,,,2173.1,Not Applicable,other_system
3800,OAKELY CITY,UTL020061,OAKLEY,UT,8,2022,2023-02-18T11:41:41.094-0500,Other,21.64,0,,Other Management Practice,,,,21.64,Not Applicable,other_system
3801,ERVING CENTER WWTP  2,MAL101052,ERVING,MA,1,2022,2023-02-18T13:59:34.148-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,13918.0,0,,Land Application,3376.0,,,,Class B,other_system
3803,PRASA PATILLAS,PRL020753,SAN JUAN,PR,2,2022,2023-02-21T11:31:21.756-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,10.66,0,,Other Management Practice,,,,10.66,Class B,other_system
3805,PRASA PONCE STP,PRL021563,PONCE,PR,2,2022,2023-02-21T11:32:24.797-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,212.62,0,,Other Management Practice,,,,212.62,Class B,other_system
3806,SANTA MARGARITA CHIQUITA WRF,CAL207417,SAN JUAN CAPISTRANO,CA,9,2022,2023-02-18T15:42:40.799-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1321.92,0,,Other Management Practice,,,,1321.91,Not Applicable,other_system
3808,PRASA SANTA ISABEL,PRL023761,SANTA ISABEL,PR,2,2022,2023-02-21T15:55:44.509-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",638.87,0,,Other Management Practice,,,,638.87,Class B,other_system
3809,PRASA SAN GERMAN,PRL020818,SAN GERMAN,PR,2,2022,2023-02-21T15:58:16.250-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",298.31,0,,Land Application,298.31,,,,Class A EQ,other_system
3810,PRASA SAN SEBASTIAN (OLD) WWTP,PRL020851,SAN SEBASTIAN,PR,2,2022,2023-02-21T15:59:46.053-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,26.15,0,,Land Application,26.15,,,,Class A EQ,other_system
3812,PRASA ISABELA,PRL022250,ISABELA,PR,2,2022,2023-02-21T16:05:14.917-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",93.83,0,,Land Application,93.83,,,,Class A EQ,other_system
3813,PRASA AGUADILLA RWWTP,PRL023736,SANTURCE,PR,2,2022,2023-02-21T16:05:38.917-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",567.02,0,,Land Application,567.02,,,,Class A EQ,other_system
3816,PRASA MAYAGUEZ R W W T P,PRL023795,MAYAGUEZ,PR,2,2022,2023-02-21T16:09:39.526-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",681.39,0,,Land Application,681.39,,,,Class A EQ,other_system
3817,PRASA UNIBON COMMUNITY WWTP,PRL024902,MOROVIS,PR,2,2022,2023-02-21T16:10:46.247-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class B,other_system
3818,PRASA GUAYAMA REGIONAL WWTP,PRL025445,GUAYAMA,PR,2,2022,2023-02-21T16:11:41.097-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",256.63,0,,Other Management Practice,,,,256.63,Class B,other_system
3820,PRASA - JAYUYA (NEW) WWTP,PRL026531,JAYUYA,PR,2,2022,2023-02-21T16:12:38.736-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,19.1,0,,Other Management Practice,,,,19.1,Class B,other_system
3823,WESTCHESTER CO DEPT ENV FAC,NYL100803,NEW ROCHELLE,NY,2,2022,2023-02-18T20:14:22.167-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,496.16,0,,Incineration,,,496.15,,,other_system
3825,WESTCHESTER CO DEPT OF ENV FAC,NYL026786,NEW ROCHELLE,NY,2,2022,2023-02-19T06:31:26.772-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,804.0,0,,Incineration,,,804.0,,,other_system
